latitude,longitude,altitude,geometry,@id,historic,name,name:el,memorial,name:en,wikidata,alt_name,artwork_type,tourism,artist_name,material,name:de,name:es,name:fr,name:ru,start_date,subject:wikidata,wikipedia,memorial:type,name:pt,addr:city,addr:housenumber,addr:postcode,addr:street,inscription
38.1284395,23.7237662,,Point,node/1172743824,monument,Λειψύδριον,Λειψύδριον,,,,,,,,,,,,,,,,,,,,,,
37.9390318,23.774122,,Point,node/1174474701,monument,Μνημείο Πυροσβεστών,Μνημείο Πυροσβεστών,stele,Firefighters monument,,,,,,,,,,,,,,,,,,,,
38.1407605,24.000003,,Point,node/1433530987,monument,Τρόπαιο Νίκης Μαραθώνος,,,Trophy of Marathon,,,,,,,,,,,,,,,,,,,,
38.1179246,23.9783453,,Point,node/1433530988,monument,Τύμβος Αθηναίων,,,Tomb of the Athenians,Q48802540,,,,,,,,,,,,,,,,,,,
38.1232299,23.949001,,Point,node/1433530997,monument,Τύμβος Πλαταιέων,,,,,,,,,,,,,,,,,,,,,,,
37.928323,23.6294909,,Point,node/1695456758,monument,Μνημείο Αφανούς Ναύτη,,,,,Σταυρός Πειραϊκής,sculpture,artwork,,,,,,,,,,,,,,,,
37.969856,23.7314255,,Point,node/2382892203,monument,Μελίνα Μερκούρη,Μελίνα Μερκούρη,bust,Melina Mecouri,Q228611,,,,Αναστάσιος Κρατίδης,marble,Melina Mercouri,Melína Merkoúri,Melina Mercouri,Мелина Меркури,1999,Q228611,el:Μελίνα Μερκούρη,,,,,,,
38.0726354,23.7592791,,Point,node/2674342854,monument,,,,,,,,,,,,,,,,,,,,,,,,
38.022699,23.7981636,,Point,node/2929361405,monument,,,,,,,,,,,,,,,,,,,,,,,,
38.0215644,23.7975107,,Point,node/3048097042,monument,,,,,,,,,,,,,,,,,,,,,,,,
37.9557997,23.8159532,,Point,node/3783017829,monument,VIGOR,,,,,,,,,,,,,,,,,,,,,,,
38.0359658,23.7110638,,Point,node/3797111734,monument,Ριμινιτών- Ιερολοχιτών,,,,,,,,,,,,,,,,,,,,,,,
37.9718515,23.7313695,,Point,node/3800571101,monument,Καμπούρογλου(ς),,,,,,,,,,,,,,,,,statue,,,,,,
37.9717495,23.7310798,,Point,node/3800571102,monument,Χατζηαποστόλου,,,,,,,,,,,,,,,,,statue,,,,,,
37.9715065,23.7367132,,Point,node/4078515150,monument,Ζάππειο,Ζάππειο,,Zapion Expedition & Congress Hall,,,,,,,,,,,,,,,Zappeion,,,,,
37.9895748,23.6527432,,Point,node/4612899173,monument,agios konstantinos,,,,,,,,,,,,,,,,,,,agia barbara,35,12351,Μεσολογγίου,
37.9955164,23.7153431,,Point,node/5068235033,monument,Μνημείο Λένορμαν,,,,,,,,,,,,,,,,,,,,,,,
37.9955751,23.7153384,,Point,node/5068235034,monument,Μνημείο Μύλλερ,,,,,,,,,,,,,,,,,,,,,,,
37.8927087,23.7603509,,Point,node/5263408525,monument,Ελευθεριος Βενιζελος,,,,,,,,,,,,,,,,,,,,,,,
37.8907492,23.7664694,,Point,node/5263433346,monument,Αμοιρο Πλασμα,,,,,,,,,,,,,,,,,,,,,,,
37.9813725,23.7285346,,Point,node/5525195123,monument,Μνημείο κατά του ναζισμού,,,Monument against nazism,,,,,,,,,,,,,,,,,,,,Από το σημείο αυτο ξεκίνησε η πρωτη μεγαλη απεργία κατά του ναζισμού στην κατεχόμενη Ευρώπη απο τους Ελληνες τριατατικούς υπάλληλους στα Ταχυδρομεία-Τηλεγραφεία-Τηλεφωνεία. Ήταν 16:00 της 14ης Απριλίου 1942. From this point started the first big strike a
38.117692,23.9900475,,Point,node/5876591458,monument,Άγαλμα για τον Μαραθώνιο,,,,,,,,,,,,,,,,,,,,,,,
37.9267674,23.68803,,Point,node/7340670505,monument,Μνημείο Υποβρυχίων,,,Submarines monument,,,,,,,,,,,,,,war_memorial,,,,,,
37.9228519,23.6961602,,Point,node/7457633750,monument,,,,,,,,,,,,,,,,,,,,,,,,
